accounting_error,adverse_selection_cost,average_quoted_spread_ticks,executable_mark_adjustment,fees,fill_count,fill_rate,filled_quantity_rate,final_inventory,final_pnl,final_wealth,inventory_mark_to_market,inventory_rms,liquidation_count,liquidation_pnl,max_abs_inventory,max_drawdown,max_drawdown_pct,mean_abs_inventory,pnl_per_second,pnl_per_traded_unit,quote_count,quote_to_trade_ratio,seed,spread_capture,strategy,time_at_inventory_limit,total_traded_quantity,turnover_notional_ticks
-5.820951359813975e-13,-0.01,27.42,9.895303326734606e-12,0.01,2.0,0.01,0.005,0.0,0.010000000009313226,100000.01000000001,-0.10999999999999999,0.451641560867119,0.0,0.0,1.0,0.19999999999708962,1.999998099972701e-06,0.20398009950248755,0.0005000000004656613,0.005000000004656613,200.0,100.0,12.0,0.13,avellaneda_stoikov,0.0,2.0,20000
7.567058091240142e-12,-0.11,6.3,3.085005861880319e-11,0.09,15.0,0.075,0.03865979381443299,0.0,0.26000000003841706,100000.26000000004,-0.07,2.7983648388200346,1.0,-0.06,5.0,0.8150000000023283,8.149935208038377e-06,2.298507462686567,0.013000000001920854,0.01733333333589447,200.0,13.333333333333334,12.0,0.48,microstructure_adaptive,0.0,15.0,149972
2.153671685434233e-11,-0.049999999999999996,4,-1.9208509782764338e-11,0.15000000000000005,28.0,0.14,0.07,0.0,0.4400000000023283,100000.44,0.06999999999999997,0.810380415552133,1.0,-0.04,2.0,0.1299999999901047,1.2999928499403722e-06,0.5373134328358209,0.022000000000116416,0.015714285714368868,200.0,7.142857142857143,13.0,0.5600000000000002,naive_symmetric,0.0,28.0,280273
2.153671685434233e-11,-0.049999999999999996,4.48,-2.4447197738419746e-11,0.15000000000000005,28.0,0.14,0.07,0.0,0.4499999999970896,100000.45,0.06999999999999997,0.810380415552133,1.0,-0.04,2.0,0.1299999999901047,1.2999927199418153e-06,0.5373134328358209,0.02249999999985448,0.01607142857132463,200.0,7.142857142857143,13.0,0.5700000000000002,inventory_skew,0.0,28.0,280272
-5.23869142510236e-12,-0.02,23.995,-1.1641521080463235e-12,0.01,2.0,0.01,0.005,0.0,0.03999999999359716,100000.04,0.01,0.07053456158585983,0.0,0.0,1.0,0.0,0.0,0.004975124378109453,0.0019999999996798577,0.01999999999679858,200.0,100.0,13.0,0.04,avellaneda_stoikov,0.0,2.0,19999
1.2223333456518048e-11,-0.00999999999999999,6.15,-2.96858752857343e-11,0.1,18.0,0.09,0.045,0.0,0.4499999999825377,100000.44999999998,0.0599999999999999,0.7948841399977109,1.0,-0.04,2.0,0.10000000000582077,9.999944000895674e-07,0.5124378109452736,0.022499999999126885,0.02499999999902987,200.0,11.11111111111111,13.0,0.5300000000000002,microstructure_adaptive,0.0,18.0,180183
4.656597329955048e-11,-0.09,4,-3.026796868699222e-11,0.12000000000000002,22.0,0.11,0.055,0.0,0.33000000001629815,100000.33000000002,0.05,1.0366421106976322,1.0,-0.04,2.0,0.13999999999941792,1.399993280026435e-06,0.8059701492537313,0.016500000000814908,0.015000000000740825,200.0,9.090909090909092,14.0,0.4400000000000001,naive_symmetric,0.0,22.0,220087
1.5715873047383866e-11,-0.06999999999999999,4.555,-6.4028227164669715e-12,0.11000000000000001,20.0,0.1,0.05,0.0,0.2600000000093132,100000.26000000001,-0.030000000000000002,1.2318331605064798,1.0,-0.04,3.0,0.20000000001164153,1.9999918001500348e-06,0.8606965174129353,0.013000000000465662,0.013000000000465662,200.0,10.0,14.0,0.44000000000000017,inventory_skew,0.0,20.0,200085
-2.3282487049414158e-12,0.0,27.585,1.7462212231755814e-12,0.01,2.0,0.01,0.005,0.0,0.13999999999941792,100000.14,0.05999999999999997,0.9515632594924629,0.0,0.0,1.0,0.16000000000349246,1.5999967200416485e-06,0.9054726368159204,0.006999999999970896,0.06999999999970896,200.0,100.0,14.0,0.09,avellaneda_stoikov,0.0,2.0,20005
2.328165438214569e-12,0.0,6.345,-2.095473447538687e-11,0.07999999999999999,14.0,0.07,0.035,0.0,0.22999999998137355,100000.22999999998,-0.059999999999999984,0.9671211832467413,1.0,-0.04,2.0,0.13999999999941792,1.3999946800143954e-06,0.7562189054726368,0.011499999999068677,0.016428571427240968,200.0,14.285714285714286,14.0,0.4100000000000001,microstructure_adaptive,0.0,14.0,140051
-6.344635927746367e-11,-0.04999999999999999,4,5.005859615714314e-11,0.15000000000000002,24.0,0.12,0.06,0.0,0.7199999999866122,100000.71999999999,0.5099999999999998,3.1409666731423695,1.0,-0.12,6.0,0.6600000000034925,6.599914861133217e-06,2.4328358208955225,0.03599999999933061,0.029999999999442178,200.0,8.333333333333334,15.0,0.48000000000000015,naive_symmetric,0.0,24.0,240053
1.3969825296555882e-11,-0.019999999999999983,4.75,5.2387157112310234e-12,0.11000000000000001,18.0,0.09,0.045,0.0,0.6300000000192085,100000.63000000002,0.3899999999999999,2.0804706700540683,1.0,-0.08,4.0,0.4399999999877764,4.399955560326604e-06,1.572139303482587,0.031500000000960426,0.03500000000106714,200.0,11.11111111111111,15.0,0.43000000000000005,inventory_skew,0.0,18.0,180038
0.0,0.0,30.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,200.0,0.0,15.0,0.0,avellaneda_stoikov,0.0,0.0,0
1.8626322706438714e-11,-0.019999999999999983,6.47,-2.9685903041309913e-11,0.1,17.0,0.085,0.0425,0.0,0.6599999999889405,100000.65999999999,0.2699999999999999,1.9483377275250593,1.0,-0.06,3.0,0.33000000000174623,3.299968815312158e-06,1.5572139303482586,0.03299999999944703,0.03882352941111415,200.0,11.764705882352942,15.0,0.5500000000000002,microstructure_adaptive,0.0,17.0,170040
-7.043121641459038e-11,-0.18,4,5.937184077708935e-11,0.18000000000000005,28.0,0.14,0.07,0.0,1.1599999999889405,100001.15999999999,0.9399999999999998,3.477003341788151,1.0,-0.16,8.0,0.6650000000081491,6.649883294629669e-06,2.985074626865672,0.05799999999944703,0.04142857142817645,200.0,7.142857142857143,16.0,0.5600000000000002,naive_symmetric,0.0,28.0,280666
-1.6298296046102223e-11,-0.15,4.965,2.8521792566627013e-11,0.14000000000000004,24.0,0.12,0.06,0.0,1.3100000000122236,100001.31000000001,0.92,2.513644358336916,1.0,-0.08,4.0,0.41000000000349246,4.099930711205905e-06,2.2786069651741294,0.06550000000061118,0.05458333333384265,200.0,8.333333333333334,16.0,0.6100000000000003,inventory_skew,0.0,24.0,240511
